City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather Description
0,Rikitea,PF,-23.1203,-134.9692,73.35,77,1,18.86,clear sky
1,Oussouye,SN,12.485,-16.5469,80.69,84,100,5.77,overcast clouds
2,Awjilah,LY,29.1081,21.2869,80.51,47,0,7.56,clear sky
3,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,75,17.27,broken clouds
4,Tilichiki,RU,60.4667,166.1,54.45,93,100,7.2,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,37.06,87,100,12.66,light rain
6,Albany,US,42.6001,-73.9662,78.64,44,27,4.18,scattered clouds
7,Ati,TD,13.2154,18.3353,79.92,74,97,5.91,light rain
8,Bluff,NZ,-46.6,168.3333,50.81,74,88,5.68,overcast clouds
9,Partizanskoye,RU,55.5006,94.39,50.74,90,9,8.12,clear sky
10,Mascote,BR,-15.5631,-39.3025,62.92,89,51,1.66,broken clouds
11,Saint George,US,37.1041,-113.5841,93.94,41,40,10.0,thunderstorm
12,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.27,73,1,17.09,clear sky
13,Castro,BR,-24.7911,-50.0119,57.29,69,2,4.09,clear sky
14,Busselton,AU,-33.65,115.3333,57.13,75,100,14.97,overcast clouds
15,Oranjemund,NA,-28.55,16.4333,52.12,79,97,10.92,overcast clouds
16,Waipawa,NZ,-41.4122,175.5153,50.18,69,100,1.59,overcast clouds
17,Moose Factory,CA,51.2585,-80.6094,66.2,48,0,6.91,clear sky
18,Veinticinco De Mayo,AR,-35.4323,-60.1727,65.98,76,100,3.0,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,23.02,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,50.49,70,95,3.4,overcast clouds
21,Namatanai,PG,-3.6667,152.4333,81.43,74,100,3.44,overcast clouds
22,Chernitsyno,RU,51.5074,36.051,71.08,79,100,10.0,overcast clouds
23,Marawi,PH,7.9986,124.2928,70.39,86,100,4.56,light rain
24,Arraial Do Cabo,BR,-22.9661,-42.0278,70.0,74,7,27.2,clear sky
25,Barrow,US,71.2906,-156.7887,37.42,87,100,10.36,overcast clouds
26,Kapaa,US,22.0752,-159.319,84.18,73,40,12.66,scattered clouds
27,Sitka,US,57.0531,-135.33,58.89,88,100,11.5,light rain
28,Cabo San Lucas,MX,22.8909,-109.9124,93.61,70,40,10.36,scattered clouds
29,Shetpe,KZ,44.1667,52.1167,84.04,20,5,3.56,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,48.96,58,97,3.2,overcast clouds
31,Guerrero Negro,MX,27.9769,-114.0611,82.2,53,9,15.77,clear sky
32,Tura,IN,25.5198,90.2201,73.63,91,97,5.44,light rain
33,Atuona,PF,-9.8,-139.0333,77.22,67,2,19.91,clear sky
34,Belyy Yar,RU,53.6039,91.3903,62.49,72,0,11.18,clear sky
35,Tocopilla,CL,-22.092,-70.1979,59.5,74,36,9.78,scattered clouds
36,Cape Town,ZA,-33.9258,18.4232,50.92,77,20,5.01,few clouds
37,Chala,TZ,-7.5833,31.2667,60.6,32,9,4.23,clear sky
38,Voznesenye,RU,61.0106,35.4781,60.76,77,17,2.06,few clouds
39,Ostrovnoy,RU,68.0531,39.5131,47.88,88,30,9.57,scattered clouds
40,Butaritari,KI,3.0707,172.7902,81.55,78,48,14.58,light rain
41,Adrar,MR,20.5022,-10.0711,98.15,20,17,9.95,few clouds
42,Port Lincoln,AU,-34.7333,135.8667,53.13,84,97,4.59,overcast clouds
43,Torbay,CA,47.6666,-52.7314,71.28,95,100,8.05,mist
44,Thompson,CA,55.7435,-97.8558,77.16,33,20,4.61,few clouds
45,Pozo Colorado,PY,-23.4923,-58.7972,88.0,30,8,10.54,clear sky
46,Jamestown,US,42.097,-79.2353,74.79,42,75,6.91,broken clouds
47,Hobart,AU,-42.8794,147.3294,52.27,95,75,6.91,light intensity shower rain
48,Avarua,CK,-21.2078,-159.775,71.65,78,75,5.75,broken clouds
49,Batagay-Alyta,RU,67.8006,130.4114,53.67,71,6,3.18,clear sky
50,Setermoen,NO,68.861,18.3486,54.43,73,97,4.12,overcast clouds
51,Bengkulu,ID,-3.8004,102.2655,76.44,89,100,2.86,overcast clouds
52,Atlantic City,US,39.3643,-74.4229,77.02,59,0,9.22,clear sky
53,Grand-Santi,GF,4.25,-54.3833,72.72,98,92,2.62,overcast clouds
54,Palmas Bellas,PA,9.2319,-80.0867,81.0,87,100,2.01,overcast clouds
55,Mar Del Plata,AR,-38.0023,-57.5575,56.08,94,0,20.0,clear sky
56,Port Hardy,CA,50.6996,-127.4199,62.78,94,100,4.61,overcast clouds
57,Camana,PE,-16.6228,-72.7111,60.26,79,74,5.88,broken clouds
58,Arona,ES,28.0996,-16.681,68.99,80,0,10.36,clear sky
59,Touros,BR,-5.1989,-35.4608,75.63,68,67,16.8,broken clouds
60,Leningradskiy,RU,69.3833,178.4167,39.07,72,91,6.58,overcast clouds
61,San Fernando,PH,15.0286,120.6898,80.33,89,100,2.3,overcast clouds
62,Broome,US,42.2506,-75.833,77.47,45,100,3.44,overcast clouds
63,Beira,MZ,-19.8436,34.8389,66.29,88,0,9.22,clear sky
64,Kavaratti,IN,10.5669,72.642,80.85,79,100,10.69,overcast clouds
65,Kavieng,PG,-2.5744,150.7967,82.44,69,74,7.09,broken clouds
66,Milkovo,RU,54.7167,158.6167,58.93,90,100,3.58,overcast clouds
67,Cidreira,BR,-30.1811,-50.2056,61.02,93,93,13.69,overcast clouds
68,Axim,GH,4.8699,-2.2405,75.11,86,95,13.49,light rain
69,Maceio,BR,-9.6658,-35.7353,74.64,83,75,3.44,broken clouds
70,Salalah,OM,17.0151,54.0924,73.49,100,100,10.36,drizzle
71,Upernavik,GL,72.7868,-56.1549,43.75,75,100,5.01,overcast clouds
72,Charagua,BO,-19.8,-63.2167,76.96,49,4,10.63,clear sky
73,Rossosh,RU,51.1209,38.5116,67.28,54,46,9.55,scattered clouds
74,Surt,LY,31.2089,16.5887,86.99,39,0,4.97,clear sky
75,Krumovgrad,BG,41.4667,25.65,62.96,86,100,2.51,overcast clouds
76,Hithadhoo,MV,-0.6,73.0833,82.27,73,98,3.91,overcast clouds
77,Katghora,IN,22.5,82.55,75.02,96,82,3.44,moderate rain
78,East London,ZA,-33.0153,27.9116,55.11,63,50,31.85,light rain
79,Pisco,PE,-13.7,-76.2167,62.65,77,0,12.66,clear sky
80,Road Town,VG,18.4167,-64.6167,84.24,84,40,9.22,scattered clouds
81,Saskylakh,RU,71.9167,114.0833,50.5,60,2,1.63,clear sky
82,Sendhwa,IN,21.6833,75.1,72.81,94,100,12.88,overcast clouds
83,Yamada,JP,39.4667,141.95,74.34,88,95,1.36,overcast clouds
84,Fukue,JP,32.6881,128.8419,84.56,89,75,10.36,broken clouds
85,Caravelas,BR,-17.7125,-39.2481,67.73,77,0,5.26,clear sky
86,Qaanaaq,GL,77.484,-69.3632,40.51,87,99,11.03,overcast clouds
87,Georgetown,MY,5.4112,100.3354,80.89,82,40,3.44,thunderstorm
88,Colares,PT,38.7992,-9.4469,69.76,77,20,21.0,few clouds
89,Itarema,BR,-2.9248,-39.9167,77.88,74,49,14.9,scattered clouds
90,Kununurra,AU,-15.7667,128.7333,69.78,64,30,1.14,scattered clouds
91,Kruisfontein,ZA,-34.0033,24.7314,47.88,64,83,16.04,light rain
92,Hermanus,ZA,-34.4187,19.2345,49.77,66,81,8.46,broken clouds
93,Tikrit,IQ,34.6071,43.6782,88.66,24,0,10.92,clear sky
94,Quepos,CR,9.4236,-84.1652,79.84,84,72,0.89,broken clouds
